Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,1.1273569048304344,1.1212466038546591,1.124301791191101,74617,0.0,0.0
1972-06-02,1.1273569238333974,1.1426328607731016,1.1273569238333974,1.1365224123001099,227645,0.0,0.0
1972-06-05,1.1365233127159111,1.1380509076201257,1.1334682703018188,1.1334682703018188,96117,0.0,0.0
1972-06-06,1.133468438588425,1.1349960337194425,1.1273579843671768,1.1304131746292114,77146,0.0,0.0
1972-06-07,1.1258302392647295,1.1258302392647295,1.1105542182922363,1.1105542182922363,121411,0.0,0.0
1972-06-08,1.1105539653763012,1.1166644165920092,1.0998610258102417,1.0998610258102417,328820,0.0,0.0
1972-06-09,1.09986080763145,1.09986080763145,1.0922228372483838,1.0937503576278687,232704,0.0,0.0
1972-06-12,1.0937505745945337,1.1029160671752383,1.0891678651527532,1.0998610258102417,182116,0.0,0.0
1972-06-13,1.1029151631071406,1.1181910943817537,1.1029151631071406,1.115135908126831,203616,0.0,0.0
1972-06-14,1.1181925609754317,1.1304131746292114,1.1181925609754317,1.1304131746292114,168204,0.0,0.0
1972-06-15,1.1304130067962215,1.1502716668538415,1.1304130067962215,1.1334682703018188,699376,0.0,0.0
1972-06-16,1.133467436268486,1.1349950300486593,1.1288845812308523,1.1319397687911987,54382,0.0,0.0
1972-06-19,1.1319394458010748,1.1349947061867405,1.1258292198181152,1.1258292198181152,159351,0.0,0.0
1972-06-20,1.127356987450679,1.133467436268486,1.127356987450679,1.1319397687911987,56911,0.0,0.0
1972-06-21,1.1319402768496358,1.1426334381103516,1.1319402768496358,1.1426334381103516,112558,0.0,0.0
1972-06-22,1.1426329252524114,1.1441603716383566,1.1319397687911987,1.1319397687911987,73352,0.0,0.0
1972-06-23,1.131940458587195,1.1334681269954319,1.1212473693068081,1.128885269165039,106234,0.0,0.0
1972-06-26,1.1313409418210618,1.1313409418210618,1.1175252199172974,1.1175252199172974,74617,0.035582,0.0
1972-06-27,1.1175246426854388,1.12059485912323,1.1175246426854388,1.12059485912323,118881,0.0,0.0
1972-06-28,1.1190604676522746,1.1190604676522746,1.1083149627956574,1.1113851070404053,241556,0.0,0.0
1972-06-29,1.1083144804003497,1.1083144804003497,1.10370934009552,1.10370934009552,51852,0.0,0.0
1972-06-30,1.1037093737150516,1.1113846571621382,1.1021743022140607,1.1083145141601562,322497,0.0,0.0
1972-07-03,1.1083149768769827,1.1129202673605139,1.1052449807090272,1.1098500490188599,27823,0.0,0.0
1972-07-05,1.1098499340608154,1.119060365958064,1.1067799382108499,1.1175252199172974,58176,0.0,0.0
1972-07-06,1.125200587319679,1.1374810892065097,1.125200587319679,1.1298058032989502,189704,0.0,0.0
1972-07-07,1.1298061754039446,1.1328762463433697,1.1282711029052734,1.1282711029052734,190969,0.0,0.0
1972-07-10,1.1282707313058598,1.1298058032989502,1.1236655893844811,1.1298058032989502,69558,0.0,0.0
1972-07-11,1.1298054662079773,1.1298054662079773,1.1190600395202637,1.1190600395202637,69558,0.0,0.0
1972-07-12,1.1175255903419679,1.1175255903419679,1.1037100860324727,1.1052452325820923,400908,0.0,0.0
1972-07-13,1.103709841787965,1.103709841787965,1.089894340535759,1.0929644107818604,93587,0.0,0.0
1972-07-14,1.0914294863903784,1.0914294863903784,1.0852892705923591,1.0868244171142578,75882,0.0,0.0
1972-07-17,1.0868248817235535,1.0883599548437692,1.0730093717575073,1.0730093717575073,145440,0.0,0.0
1972-07-18,1.0730085428669842,1.0837538242340088,1.0730085428669842,1.0837538242340088,108764,0.0,0.0
1972-07-19,1.086824050000801,1.0991044774486884,1.086824050000801,1.0960344076156616,87264,0.0,0.0
1972-07-20,1.0960347778402442,1.0991048487102961,1.0868244171142578,1.0868244171142578,598200,0.0,0.0
1972-07-21,1.0868240421606679,1.0868240421606679,1.082218752299624,1.0837538242340088,78411,0.0,0.0
1972-07-24,1.083754539861649,1.0914298305438512,1.083754539861649,1.0883598327636719,108764,0.0,0.0
1972-07-25,1.0883592683837584,1.094499482933861,1.0883592683837584,1.0929644107818604,402173,0.0,0.0
1972-07-26,1.0929647537975071,1.0960348990650417,1.089894682587896,1.0944998264312744,183381,0.0,0.0
1972-07-27,1.0944990778044072,1.0991042184979138,1.0898939371109009,1.0898939371109009,97381,0.0,0.0
1972-07-28,1.091429591178894,1.099104954235726,1.091429591178894,1.091429591178894,77146,0.0,0.0
1972-07-31,1.0929646509197075,1.1006399393081665,1.0929646509197075,1.1006399393081665,131528,0.0,0.0
1972-08-01,1.10063957524982,1.1175252189307516,1.0975695053446726,1.114455223083496,390790,0.0,0.0
1972-08-02,1.1144555985330677,1.1359463913407117,1.1144555985330677,1.1282711029052734,190969,0.0,0.0
1972-08-03,1.1298057213241115,1.1466914379650432,1.1298057213241115,1.142086148262024,153028,0.0,0.0
1972-08-04,1.1405511919310354,1.1405511919310354,1.1359459023595064,1.1374809741973877,98646,0.0,0.0
1972-08-07,1.137480760986758,1.137480760986758,1.1313406229019165,1.1313406229019165,147969,0.0,0.0
1972-08-08,1.1313418136129616,1.137481958160163,1.126736520057688,1.1344118118286133,134058,0.0,0.0
