Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.9177147958959853,1.8515866994857788,1.8515866994857788,70800,0.0,0.0
1980-03-18,0.0,1.8368918895721436,1.7928064815316525,1.8368918895721436,100200,0.0,0.0
1980-03-19,0.0,1.866281944136344,1.8515866994857788,1.8515866994857788,45000,0.0,0.0
1980-03-20,0.0,1.866281944136344,1.8515866994857788,1.8515866994857788,79800,0.0,0.0
1980-03-21,0.0,1.8662816286087036,1.83689114427655,1.8662816286087036,288000,0.0,0.0
1980-03-24,0.0,1.8589350264439373,1.8075021505355835,1.8075021505355835,72600,0.0,0.0
1980-03-25,0.0,1.8221962758362609,1.792805790901184,1.792805790901184,82200,0.0,0.0
1980-03-26,0.0,1.8075023149357279,1.7707643508911133,1.7707643508911133,62400,0.0,0.0
1980-03-27,0.0,1.7634168460788273,1.5870751614709446,1.6164653301239014,517200,0.0,0.0
1980-03-28,0.0,1.7340263728127598,1.6458555459976196,1.6458555459976196,299400,0.0,0.0
1980-03-31,0.0,1.7046356201171875,1.6532027575527557,1.7046356201171875,85800,0.0,0.0
1980-04-01,0.0,1.7487207651138306,1.7046353648475583,1.7487207651138306,36600,0.0,0.0
1980-04-02,0.0,1.8368918895721436,1.7560688657278904,1.8368918895721436,133200,0.0,0.0
1980-04-03,0.0,1.880976534429946,1.851586386442627,1.8662816286087036,60000,0.0,0.0
1980-04-07,0.0,1.8221962758362609,1.792805790901184,1.792805790901184,239400,0.0,0.0
1980-04-08,0.0,1.8075012523476939,1.7781111001968384,1.7781111001968384,29400,0.0,0.0
1980-04-09,0.0,1.7781116583532595,1.7046357503944138,1.7634164094924927,423600,0.0,0.0
1980-04-10,0.0,1.792806008099825,1.7781111001968384,1.7781111001968384,49800,0.0,0.0
1980-04-11,0.0,1.7928061653801028,1.7119831557885448,1.7487207651138306,122400,0.0,0.0
1980-04-14,0.0,1.763416010650892,1.734025855921681,1.7487207651138306,176400,0.0,0.0
1980-04-15,0.0,1.7487210269852609,1.7046356201171875,1.7046356201171875,141600,0.0,0.0
1980-04-16,0.0,1.734025072885486,1.7046345950832638,1.719329833984375,105000,0.0,0.0
1980-04-17,0.0,1.7193298339843748,1.6899396925269123,1.719329833984375,97800,0.0,0.0
1980-04-18,0.0,1.7487209854531975,1.7193308270208179,1.7340260744094849,45000,0.0,0.0
1980-04-21,0.0,1.7193319107356826,1.6752464771270754,1.6752464771270752,55800,0.0,0.0
1980-04-22,0.0,1.7487209854531975,1.704635579632151,1.7340260744094849,36600,0.0,0.0
1980-04-23,0.0,1.7781104532440597,1.7193298339843748,1.719329833984375,38400,0.0,0.0
1980-04-24,0.0,1.7340268705937651,1.6972889034262135,1.7119841575622559,28200,0.0,0.0
1980-04-25,0.0,1.7119841575622559,1.6899414445307468,1.7119841575622559,49800,0.0,0.0
1980-04-28,0.0,1.7193298339843748,1.7046345950832638,1.719329833984375,20400,0.0,0.0
1980-04-29,0.0,1.7193316164577228,1.6899414445307468,1.7119841575622559,95400,0.0,0.0
1980-04-30,0.0,1.7046356748986782,1.6605502666138419,1.6678980588912964,36000,0.0,0.0
1980-05-01,0.0,1.697288505796283,1.6752457979287987,1.6899410486221313,79800,0.0,0.0
1980-05-02,0.0,1.7046356201171875,1.6752454609867924,1.7046356201171875,205800,0.0,0.0
1980-05-05,0.0,1.7046369281924383,1.6752467465091063,1.6972894668579102,46800,0.0,0.0
1980-05-06,0.0,1.6972889578774437,1.6678987850075926,1.6825937032699585,62400,0.0,0.0
1980-05-07,0.0,1.7046356201171875,1.660550213249114,1.7046356201171875,64800,0.0,0.0
1980-05-08,0.0,1.7854585541483317,1.7046352153023765,1.7781111001968384,176400,0.0,0.0
1980-05-09,0.0,1.792806008099825,1.770763309900463,1.7781111001968384,19800,0.0,0.0
1980-05-12,0.0,1.7634152143429487,1.7046345950832638,1.719329833984375,156000,0.0,0.0
1980-05-13,0.0,1.748722087693032,1.6752464771270754,1.6752464771270752,88800,0.0,0.0
1980-05-14,0.0,1.7193321872067142,1.6752467465091063,1.6972894668579102,241800,0.0,0.0
1980-05-15,0.0,1.719330867854866,1.6972881644208293,1.7046356201171875,123000,0.0,0.0
1980-05-16,0.0,1.7634162328418646,1.7193308270208179,1.7340260744094849,85800,0.0,0.0
1980-05-19,0.0,1.763416409492493,1.7266784555130699,1.7634164094924927,42000,0.0,0.0
1980-05-20,0.0,1.7707643508911133,1.7487216397333605,1.7707643508911133,93600,0.0,0.0
1980-05-21,0.0,1.7781111001968384,1.7340257037981142,1.7781111001968384,161700,0.0,2.0
1980-05-22,0.0,1.895672917366028,1.8221973350094889,1.8956729173660278,90000,0.0,0.0
1980-05-23,0.0,1.9985371828079224,1.8956711920544012,1.9985371828079224,82800,0.0,0.0
1980-05-27,0.0,1.99853884464369,1.910368018208601,1.9397581815719604,81900,0.0,0.0
1980-05-28,0.0,1.9691487119001652,1.8515877001933871,1.8809778690338135,69900,0.0,0.0
1980-05-29,0.0,1.880977525823364,1.8221971988677979,1.8221971988677979,47700,0.0,0.0
1980-05-30,0.0,1.8662826122569784,1.8221971988677979,1.8221971988677979,28500,0.0,0.0
1980-06-02,0.0,1.8809778690338135,1.822197531352961,1.8809778690338135,36000,0.0,0.0
1980-06-03,0.0,1.9250629989297672,1.8809775841730165,1.9103680849075317,9300,0.0,0.0
1980-06-04,0.0,1.9397582492970247,1.8809775841730165,1.9103680849075317,41400,0.0,0.0
1980-06-05,0.0,1.9397574236779496,1.8515866316925882,1.9250621795654297,252900,0.0,0.0
1980-06-06,0.0,1.9250622500488221,1.8515866994857788,1.8515866994857788,36600,0.0,0.0
1980-06-09,0.0,1.8809768524420178,1.8515866994857788,1.8515866994857788,21900,0.0,0.0
1980-06-10,0.0,1.9103681683753506,1.851587500683097,1.8956729173660278,17700,0.0,0.0
1980-06-11,0.0,1.9103681683753506,1.8662827516924196,1.8956729173660278,36300,0.0,0.0
1980-06-12,0.0,1.9250629989297672,1.8809775841730165,1.9103680849075317,179400,0.0,0.0
1980-06-13,0.0,1.969148622320515,1.9103682873136718,1.954453706741333,54900,0.0,0.0
1980-06-16,0.0,2.0132334232330322,1.9544531062849577,2.0132334232330322,127200,0.0,0.0
1980-06-17,0.0,2.042623918052024,1.9985385121684909,2.0132334232330322,64800,0.0,0.0
1980-06-18,0.0,2.0279273217326153,1.9985371828079224,1.9985371828079224,35400,0.0,0.0
1980-06-19,0.0,2.0132322762048713,1.9838421344757078,1.983842134475708,30600,0.0,0.0
1980-06-20,0.0,1.9985371828079224,1.9544518062485177,1.9985371828079224,78600,0.0,0.0
1980-06-23,0.0,2.0132334232330322,1.969148017349499,2.0132334232330322,23100,0.0,0.0
