Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-10-06,1.7872674067815146,1.8091970682144165,1.6447246074676514,1.7105135917663574,7776800,0.0,0.0
2000-10-09,1.705032192850671,1.705032192850671,1.589901089668274,1.589901089668274,2759200,0.0,0.0
2000-10-10,1.578935739945392,1.6666543921645807,1.578935739945392,1.611830234527588,2257600,0.0,0.0
2000-10-11,1.606348690511214,1.606348690511214,1.5460417623251257,1.557006597518921,3709600,0.0,0.0
2000-10-12,1.535076547552038,1.535076547552038,1.4034985577618635,1.4802523851394653,4552000,0.0,0.0
2000-10-13,1.4583230597385464,1.513147234916687,1.4473582247029182,1.513147234916687,1595200,0.0,0.0
2000-10-16,1.5131466815914485,1.5350763436434984,1.5021818505654234,1.5186294317245483,1236800,0.0,0.0
2000-10-17,1.5131467507810008,1.6337598975823848,1.5131467507810008,1.611830234527588,620000,0.0,0.0
2000-10-18,1.6008653710635887,1.6118302023722435,1.5241115519030057,1.5295943021774292,1392000,0.0,0.0
2000-10-19,1.5405595034225605,1.5460415857732113,1.4912174160649412,1.4967001676559448,1219200,0.0,0.0
2000-10-20,1.5076653214515479,1.5076653214515479,1.4802528961616404,1.4912177324295044,1064800,0.0,0.0
2000-10-23,1.4912174210619569,1.4912174210619569,1.4692877531051636,1.4692877531051636,1488800,0.0,0.0
2000-10-24,1.4912174020494733,1.5350767374038694,1.485735319750347,1.5350767374038696,533600,0.0,0.0
2000-10-25,1.5350769480613813,1.644725301494337,1.5241121127180857,1.6008659601211548,1664000,0.0,0.0
2000-10-26,1.589901089668274,1.589901089668274,1.5460417492636318,1.589901089668274,338400,0.0,0.0
2000-10-27,1.6063480345801509,1.7214784224828086,1.5953832038637,1.7105135917663574,400000,0.0,0.0
2000-10-30,1.6940669301661622,1.8859511613845825,1.6885841793792193,1.8859511613845825,741600,0.0,0.0
2000-10-31,1.9736700261977904,2.127177694902063,1.9736700261977904,2.0504238605499268,3561600,0.0,0.0
2000-11-01,2.0284945178902074,2.0559069405900208,1.9627055064991736,2.0339772701263428,2935200,0.0,0.0
2000-11-02,2.0449419228422303,2.116213010867853,2.0284943368422423,2.09428334236145,914400,0.0,0.0
2000-11-03,2.072354046425017,2.2148969173431396,2.017529865302662,2.2148969173431396,2640800,0.0,0.0
2000-11-06,2.2148964751766886,2.2148964751766886,2.1052481348214074,2.1107308864593506,677600,0.0,0.0
2000-11-07,2.1052481400339227,2.1052481400339227,2.028494301595186,2.0833184719085693,866400,0.0,0.0
2000-11-08,1.9517398675282798,2.1052474975585938,1.8969157139460247,2.1052474975585938,2896000,0.0,0.0
2000-11-09,2.1052483373500195,2.127178007530749,2.050424161898196,2.099766254425049,1449600,0.0,0.0
2000-11-10,2.0942831268214217,2.1929666249438973,2.0942831268214217,2.171036958694458,368000,0.0,0.0
2000-11-13,2.149106556412864,2.149106556412864,1.9298099690237962,1.9407747983932495,726400,0.0,0.0
2000-11-14,1.929810282948253,1.9955992698669436,1.8640212960295626,1.9955992698669434,1000800,0.0,0.0
2000-11-15,2.0065641791924187,2.0394586739332783,1.9681876032815206,2.017529010772705,736800,0.0,0.0
2000-11-16,2.0065643016386026,2.0175291338879937,2.0065643016386026,2.012047052383423,72800,0.0,0.0
2000-11-17,2.0284941935921736,2.0504238605499268,2.0010824445151445,2.0504238605499268,272800,0.0,0.0
2000-11-20,2.0394585944794037,2.0394585944794037,1.929810282948253,1.9955992698669434,264800,0.0,0.0
2000-11-21,1.9901178667338444,1.995599949557478,1.9791530318461659,1.9846351146697998,712800,0.0,0.0
2000-11-22,1.9955993476121323,2.017529010772705,1.9736696844515595,2.017529010772705,404000,0.0,0.0
2000-11-24,2.017529010772705,2.017529010772705,2.012046929602666,2.017529010772705,242400,0.0,0.0
2000-11-27,2.0394591356578626,2.088801223560088,2.0175294675325093,2.0833184719085693,833600,0.0,0.0
2000-11-28,2.066871721513459,2.1216958962321133,2.0613889694213867,2.0613889694213867,1260800,0.0,0.0
2000-11-29,2.0394593021842873,2.0394593021842873,1.9298109526044867,1.9517406225204468,128000,0.0,0.0
2000-11-30,1.9298099690237962,1.9407747983932497,1.9078803102848894,1.9407747983932495,688000,0.0,0.0
2000-12-01,1.918845809996128,1.929810643196106,1.8859513103961945,1.929810643196106,416800,0.0,0.0
2000-12-04,1.9188457888525885,2.028494119644165,1.9188457888525885,2.028494119644165,1025600,0.0,0.0
2000-12-05,2.028494467226307,2.028494467226307,1.9517406225204468,1.9517406225204468,1095200,0.0,0.0
2000-12-06,1.94077557351948,2.0339769950035804,1.94077557351948,2.023012161254883,408800,0.0,0.0
2000-12-07,2.0449412632381914,2.149106820424398,2.0449412632381914,2.1052474975585938,440000,0.0,0.0
2000-12-08,2.127177804561671,2.258755813091259,2.1107308881156523,2.2258613109588623,424800,0.0,0.0
2000-12-11,2.225861810413675,2.280685992936179,2.214896973909174,2.2642390727996826,264800,0.0,0.0
2000-12-12,2.220378759558045,2.2587553359862462,2.182001513889626,2.1874842643737793,470400,0.0,0.0
2000-12-13,2.1765192318356035,2.1765192318356035,2.1052474975585938,2.1052474975585938,324000,0.0,0.0
2000-12-14,2.1052480897539017,2.1052480897539017,1.7653382419290529,1.8475748300552368,1654400,0.0,0.0
2000-12-15,1.8530569123354654,1.8530569123354654,1.842092078534664,1.8475748300552368,32800,0.0,0.0
2000-12-18,1.8640215902617485,1.869504341323839,1.7653380943067147,1.8091974258422852,369600,0.0,0.0
2000-12-19,1.8037158537784757,1.8201627731323242,1.7872682651841496,1.8201627731323242,316800,0.0,0.0
2000-12-20,1.8146796964078986,1.8146796964078986,1.7653376268751828,1.776302456855774,838400,0.0,0.0
2000-12-21,1.7872674067815146,1.8420915603637698,1.7763025760650635,1.8420915603637695,652000,0.0,0.0
2000-12-22,1.8420924181378753,1.9736704480048664,1.8420924181378753,1.9627056121826172,232000,0.0,0.0
2000-12-26,1.9681882070198822,2.10524830919631,1.9681882070198822,2.0613889694213867,272000,0.0,0.0
2000-12-27,2.1052473449707034,2.1929659843444824,2.1052473449707034,2.1929659843444824,406400,0.0,0.0
2000-12-28,2.1929671279097027,2.5109473614566094,2.1929671279097027,2.478052854537964,1199200,0.0,0.0
2000-12-29,2.4780532256416654,2.576736761176068,2.4780532256416654,2.5219125747680664,590400,0.0,0.0
2001-01-02,2.5109464517620763,2.5438409467633263,2.280684986753327,2.29164981842041,1202400,0.0,0.0
2001-01-03,2.28068582282331,2.302615494196611,2.258756151450009,2.2861685752868652,487200,0.0,0.0
2001-01-04,2.280684623718262,2.280684623718262,2.1874839040036753,2.1929659843444824,1032000,0.0,0.0
2001-01-05,2.1820024074652253,2.192967243683644,2.1381430625915527,2.1381430625915527,274400,0.0,0.0
2001-01-08,2.12717793541861,2.12717793541861,1.9298109104828627,1.9681881666183472,480000,0.0,0.0
2001-01-09,2.017529559391801,2.0723537322013605,2.0010826421691283,2.039459228515625,709600,0.0,0.0
2001-01-10,2.2148968829444393,2.3135804074320627,2.182002374781898,2.203932046890259,2014400,0.0,0.0
2001-01-11,2.2148969829629324,2.401299204301397,2.2148969829629324,2.390334367752075,760000,0.0,0.0
2001-01-12,2.3684037974182988,2.412263127000119,2.3355093002319336,2.3355093002319336,578400,0.0,0.0
2001-01-16,2.313579836899664,2.521911670554136,2.313579836899664,2.494499921798706,269600,0.0,0.0
2001-01-17,2.4944999460636486,2.675419363482245,2.478052361258145,2.5438413619995117,1263200,0.0,0.0
2001-01-18,2.5438416481018065,2.648007912277899,2.5438416481018065,2.6315603256225586,450400,0.0,0.0
2001-01-19,2.675418814513909,2.675418814513909,2.631559489685812,2.6644539833068848,424800,0.0,0.0
2001-01-22,2.66993762847658,2.7741032252388615,2.66993762847658,2.7192790508270264,2515200,0.0,0.0
2001-01-23,2.8069977298859627,2.850857069415431,2.7083142159446596,2.7192790508270264,2376000,0.0,0.0
2001-01-24,2.713796656558844,2.713796656558844,2.6096304025107284,2.6973490715026855,4156800,0.0,0.0
2001-01-25,2.691866597997883,2.6973486793927908,2.642524519242531,2.653489351272583,5560000,0.0,0.0
2001-01-26,2.6534896639526866,2.675419330596924,2.6534896639526866,2.675419330596924,2942400,0.0,0.0
2001-01-29,2.6859454477787628,2.761383381747291,2.6762963416217147,2.7175240516662598,936800,0.0,0.0
2001-01-30,2.7175249380509947,2.7719105987070662,2.714893484466265,2.749980926513672,1567200,0.0,0.0
2001-01-31,2.7719096850416935,2.98243443524396,2.7719096850416935,2.9605047702789307,3824800,0.0,0.0
2001-02-01,2.964891405852048,3.1841881124183273,2.9561196714374844,3.1254167556762695,2373600,0.0,0.0
2001-02-02,3.1929600438169876,3.368397401507587,3.1447145027559094,3.157872438430786,3716800,0.0,0.0
2001-02-05,3.149101752589632,3.1578734895457994,3.054365387285506,3.085944175720215,2656800,0.0,0.0
2001-02-06,3.0701527195427105,3.087696516292687,2.9824340704129186,2.992960214614868,3628000,0.0,0.0
2001-02-07,2.982434349338504,3.175415462396196,2.982434349338504,3.004364013671875,1839200,0.0,0.0
2001-02-08,3.003488110113421,3.0131368849879276,2.938576131907043,2.9648916721343994,2738400,0.0,0.0
2001-02-09,2.973662703106001,2.9912061673819186,2.9412065580312627,2.9605047702789307,856000,0.0,0.0
2001-02-12,2.96050576882841,2.96050576882841,2.85524327456824,2.8771729469299316,436800,0.0,0.0
2001-02-13,2.8815588144782214,2.9578743152234854,2.8771729469299316,2.8771729469299316,660000,0.0,0.0
2001-02-14,2.878049114096682,2.978048324584961,2.878049114096682,2.978048324584961,1584800,0.0,0.0
2001-02-15,3.070153006671989,3.1227840672240315,3.004364013671875,3.004364013671875,696800,0.0,0.0
2001-02-16,2.9964702835666928,3.008750845998569,2.978049439918879,2.986821174621582,158400,0.0,0.0
2001-02-20,3.01576754432852,3.0262936895550765,2.9605046963038792,2.9692764282226562,632000,0.0,0.0
2001-02-21,3.140327515377332,3.140327515377332,3.021907475032438,3.0341880321502686,1096800,0.0,0.0
2001-02-22,2.894716774716097,2.982435464859009,2.894716774716097,2.982435464859009,620800,0.0,0.0
2001-02-23,2.9605047811161387,2.961381820485092,2.8947157859802246,2.8947157859802246,1180000,0.0,0.0
2001-02-26,2.895593459661697,2.9192775432533082,2.8727867502513704,2.8903305530548096,2472000,0.0,0.0
2001-02-27,2.8727870880700137,2.880681783528909,2.8455941737959862,2.8464715480804443,882400,0.0,0.0
2001-02-28,2.855242009019973,2.855242009019973,2.6438400745391846,2.6438400745391846,609600,0.0,0.0
2001-03-01,2.6324365784827632,2.633313785017284,2.4561220804850263,2.49998140335083,1388000,0.0,0.0
2001-03-02,2.4912101840242302,2.4912101840242302,2.4166492813768854,2.4491052627563477,503200,0.0,0.0
2001-03-05,2.4491056691088526,2.4648950590315852,2.4491056691088526,2.458754777908325,455200,0.0,0.0
2001-03-06,2.3859480513586284,2.3859480513586284,2.302615242331176,2.3157730102539062,5880000,0.0,0.0
2001-03-07,2.3157735321728827,2.346475109118706,2.3157735321728827,2.341212034225464,2145600,0.0,0.0
2001-03-08,2.3377030796499243,2.4736671509674637,2.3377030796499243,2.464895248413086,2920800,0.0,0.0
2001-03-09,2.4999823066532594,2.4999823066532594,2.47366677034937,2.474543809890747,1976000,0.0,0.0
2001-03-12,2.469279939885232,2.4955956350138586,2.4605080415090232,2.4701571464538574,1716800,0.0,0.0
2001-03-13,2.460508269973581,2.4613854766236574,2.3903334110680836,2.4385786056518555,1292800,0.0,0.0
2001-03-14,2.368404302657251,2.416649508565118,2.368404302657251,2.3947198390960693,1640000,0.0,0.0
2001-03-15,2.3903342871186513,2.412263959477538,2.3289311375897195,2.385948419570923,6079200,0.0,0.0
2001-03-16,2.377176231136356,2.401737354144563,2.377176231136356,2.3920884132385254,669600,0.0,0.0
2001-03-19,2.390334318563533,2.4508602619171143,2.390334318563533,2.4508602619171143,2302400,0.0,0.0
2001-03-20,2.4508599747325728,2.473666851690612,2.4508599747325728,2.457000255584717,4213600,0.0,0.0
2001-03-21,2.3903327811848034,2.419279923769136,2.3903327811848034,2.412262439727783,974400,0.0,0.0
2001-03-22,2.4131410578604964,2.4131410578604964,2.3017382871359207,2.3526151180267334,2184800,0.0,0.0
2001-03-23,2.3534918824814506,2.403491497039795,2.3534918824814506,2.403491497039795,1296800,0.0,0.0
2001-03-26,2.4034918273868646,2.4034918273868646,2.3596324868604253,2.3684043884277344,2141600,0.0,0.0
2001-03-27,2.3701588022032176,2.3701588022032176,2.350860585293116,2.3684043884277344,3907200,0.0,0.0
2001-03-28,2.453490593328349,2.453490593328349,2.4122628878405106,2.42366623878479,4691200,0.0,0.0
2001-03-29,2.424544403077731,2.482438721869738,2.4210357426743347,2.478052854537964,5948000,0.0,0.0
2001-03-30,2.478052068737652,2.5657707260380995,2.4569996110627517,2.5359463691711426,3380800,0.0,0.0
2001-04-02,2.5262977475814035,2.5262977475814035,2.448228181158486,2.456122875213623,3791200,0.0,0.0
2001-04-03,2.4561225685112036,2.4561225685112036,2.3859477049063407,2.416649103164673,4797600,0.0,0.0
2001-04-04,2.4517367462795754,2.605244409566595,2.4517367462795754,2.4991047382354736,25472800,0.0,0.0
2001-04-05,2.464895454365773,2.5219125747680664,2.3727907208142467,2.5219125747680664,28403200,0.0,0.0
2001-04-06,2.5210335359660063,2.5210335359660063,2.433314901448149,2.46050763130188,9994400,0.0,0.0
2001-04-09,2.4736669872061903,2.499982525817061,2.456123183258867,2.478052854537964,3430400,0.0,0.0
2001-04-10,2.4754209232872393,2.513139979926206,2.4385790734666313,2.456122875213623,3284800,0.0,0.0
2001-04-11,2.4429652927236267,2.4438424996084738,2.197352886199951,2.197352886199951,3432000,0.0,0.0
2001-04-12,2.1973531004924416,2.2473528939442176,2.162265658227257,2.232440710067749,5520000,0.0,0.0
2001-04-16,2.2412130037209863,2.279809283486964,2.192967779496137,2.2368271350860596,1620000,0.0,0.0
2001-04-17,2.192966146804622,2.1938433533405486,2.0543706930189716,2.0877037048339844,12680000,0.0,0.0
2001-04-18,2.0877047502152273,2.2675281646826253,2.0877047502152273,2.2148969173431396,10092800,0.0,0.0
2001-04-19,2.254369880065682,2.2701591000841796,2.0613887396431414,2.084195613861084,9121600,0.0,0.0
2001-04-20,2.084196386751932,2.084196386751932,2.022793228217086,2.069284200668335,5872000,0.0,0.0
2001-04-23,2.090335321091819,2.1578787184595667,2.0710372792624794,2.1052474975585938,11970400,0.0,0.0
2001-04-24,2.2850708374336257,2.4201576429904654,2.2850708374336257,2.3350706100463867,17843200,0.0,0.0
2001-04-25,2.3350705931789575,2.6315595637444043,2.3350705931789575,2.5894546508789062,17748000,0.0,0.0
2001-04-26,2.5877006958270896,2.6412091366359602,2.5087539283994658,2.5438413619995117,4340800,0.0,0.0
2001-04-27,2.5438417943027054,2.666647916427711,2.526297990866229,2.6578760147094727,2013600,0.0,0.0
2001-04-30,2.657876002975701,2.8464713034998423,2.657876002975701,2.8455939292907715,5860800,0.0,0.0
2001-05-01,2.872787016772101,3.0262947199583965,2.868401149319397,3.0087509155273438,7440800,0.0,0.0
2001-05-02,2.9868210661886927,3.086820310498166,2.9429617250269784,3.0482242107391357,8204000,0.0,0.0
2001-05-03,3.043838551708264,3.043838551708264,2.776296451939141,2.789454221725464,5105600,0.0,0.0
2001-05-04,2.763138205437235,2.8227869299750186,2.684191433029618,2.7982256412506104,5235200,0.0,0.0
2001-05-07,2.7850668917869252,2.8026106871631393,2.7455934358454597,2.761382818222046,6393600,0.0,0.0
2001-05-08,2.754366397857666,2.8280502665241802,2.7385770093798483,2.754366397857666,3772800,0.0,0.0
2001-05-09,2.7631386821528183,2.8026121588219066,2.7631386821528183,2.789454221725464,7036000,0.0,0.0
2001-05-10,2.780681954920859,2.867523252363745,2.780681954920859,2.8131377696990967,2581600,0.0,0.0
