Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.11257706994406651,0.1115342229604721,0.1115342229604721,448000,0.0,0.0
1980-03-18,0.0,0.11205567426704034,0.11049194015601616,0.11101336777210236,422400,0.0,0.0
1980-03-19,0.0,0.11414024233818054,0.11101331634909141,0.11414024233818054,396800,0.0,0.0
1980-03-20,0.0,0.11361932754516602,0.11361932754516602,0.11361932754516602,25600,0.0,0.0
1980-03-21,0.0,0.11414024233818054,0.11309793632605411,0.11414024233818054,294400,0.0,0.0
1980-03-24,0.0,0.11466164125127788,0.11361932754516602,0.11361932754516602,806400,0.0,0.0
1980-03-25,0.0,0.11466173163163246,0.11257711052894592,0.11257711052894592,4172800,0.0,0.0
1980-03-26,0.0,0.11518259524052814,0.11257708779248987,0.11466170847415924,819200,0.0,0.0
1980-03-27,0.0,0.11414021400615389,0.11205559454663803,0.11361932754516602,1753600,0.0,0.0
1980-03-28,0.0,0.11466166971273385,0.11309793632605411,0.11414024233818054,960000,0.0,0.0
1980-03-31,0.0,0.11778858304023743,0.11361933586326618,0.11778858304023743,640000,0.0,0.0
1980-04-01,0.0,0.11778858304023743,0.11726768858840685,0.11778858304023743,1830400,0.0,0.0
1980-04-02,0.0,0.11674627449393048,0.11466165478830313,0.1151825413107872,1856000,0.0,0.0
1980-04-03,0.0,0.11518259524052814,0.11414028092333718,0.11466170847415924,396800,0.0,0.0
1980-04-07,0.0,0.1141403039755011,0.11257711052894592,0.11257711052894592,1190400,0.0,0.0
1980-04-08,0.0,0.11257711052894592,0.11205568287281456,0.11257711052894592,51200,0.0,0.0
1980-04-09,0.0,0.11257710181104193,0.11153425453225083,0.11205567419528961,716800,0.0,0.0
1980-04-10,0.0,0.11361932754516602,0.11205559454663803,0.11361932754516602,2112000,0.0,0.0
1980-04-11,0.0,0.11361941710393211,0.11257711052894592,0.11257711052894592,742400,0.0,0.0
1980-04-14,0.0,0.11361932754516602,0.11205559454663803,0.11361932754516602,934400,0.0,0.0
1980-04-15,0.0,0.1141403039755011,0.11257711052894592,0.11257711052894592,3558400,0.0,0.0
1980-04-16,0.0,0.11518261658765629,0.11309799551963806,0.11309799551963806,1651200,0.0,0.0
1980-04-17,0.0,0.11309799551963806,0.11257710865673169,0.11309799551963806,89600,0.0,0.0
1980-04-18,0.0,0.11361932754516602,0.1130979082527499,0.11361932754516602,755200,0.0,0.0
1980-04-21,0.0,0.11257710181104193,0.11205567419528961,0.11205567419528961,3494400,0.0,0.0
1980-04-22,0.0,0.11309799551963806,0.11205568100927193,0.11309799551963806,204800,0.0,0.0
1980-04-23,0.0,0.11466170847415924,0.11361939415696828,0.11466170847415924,4454400,0.0,0.0
1980-04-24,0.0,0.1151825413107872,0.11361934095913505,0.1151825413107872,332800,0.0,0.0
1980-04-25,0.0,0.11674636602401733,0.11466174468403015,0.11674636602401733,345600,0.0,0.0
1980-04-28,0.0,0.11622485513995527,0.11466165478830313,0.1151825413107872,793600,0.0,0.0
1980-04-29,0.0,0.1151825413107872,0.1151825413107872,0.1151825413107872,115200,0.0,0.0
1980-04-30,0.0,0.11726770550012589,0.11570397216160339,0.11726770550012589,332800,0.0,0.0
1980-05-01,0.0,0.11883094161748886,0.11778863532511093,0.11883094161748886,2816000,0.0,0.0
1980-05-02,0.0,0.11935241520404816,0.11883098748801647,0.11935241520404816,256000,0.0,0.0
1980-05-05,0.0,0.11987325586257878,0.11883094161748886,0.11883094161748886,204800,0.0,0.0
